Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
23,0, ,9,0.3618,22.8,213, ,0,6, , ,137.73,97.23,70.64,89,2.1,69.9840404,911.6, 
23,0, ,9,0.3618,22.8,215, ,0,6, , ,148.8,130.67,74.67,63,1.8,61.92751306,1044.8, 
23,0, ,9,0.3618,22.8,224,2,1,6, , ,169.72,119.21,63.19,57,1.9,64.694887,767.1, 
23,0, ,9,0.3618,22.8,227,4,1,6, , ,128.67,92.12,65.15,88,2.13,70.74950369,684.9, 
24,0, ,8,0.3728,48.3,7,3,1,9, , ,146,142,78,58,3.37,96.64855428,1186.7, 
24,0,5,8,0.3728,48.3,17,1,1,9, , ,166,125,56,49,1.44,51.28201165,827.7, 
24,0, ,8,0.3728,48.3,185,7,1,9, , ,127.32,72.93,64.17,82,2.42,77.78392336,837.3, 
24,0, ,8,0.3728,48.3,216,4,1,9, , ,153.8,123.2,56.71,82,1.9,64.694887,1182.2, 
24,0, ,8,0.3728,48.3,217,8,1,9, , ,140.49,124.97,87.67,81,2.06,68.95217672,1414.3, 
24,0, ,8,0.3728,48.3,220,2,1,9, , ,137.96,111.44,73.82,83,2.11,70.2399961,842.1, 
24,0, ,8,0.3728,48.3,222,9,1,9,9,245,159.45,111.41,86.6,83,2.08,69.46971908,1568.5,0.843799809
24,0, ,8,0.3728,48.3,225,5,1,9, , ,159.03,116.88,64.94,72,1.64,57.32791422,949.6, 
24,0, ,8,0.3728,48.3,229,6,1,9, , ,134.81,120.2,57.27,77,2.2,72.50767547,747.8, 
,, ,,,,,,,,,,,,,,,,,
